CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
880499504,02/29/2016,17:00:00,02/29/2016,17:20:00,02/29/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,INSIDE,RESIDENCE - APT. HOUSE,,,1040058,193008,40.696271399,-73.798743611,"(40.696271399, -73.798743611)"
402778668,02/29/2016,17:00:00,,,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,DEPARTMENT STORE,,,986454,213102,40.751600255,-73.992046671,"(40.751600255, -73.992046671)"
227702814,02/29/2016,17:00:00,02/29/2016,17:10:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1008596,231485,40.802023496,-73.912064166,"(40.802023496, -73.912064166)"
639306332,02/29/2016,17:00:00,,,02/29/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE - APT. HOUSE,,,1009760,180141,40.661093607,-73.908054476,"(40.661093607, -73.908054476)"
969897077,02/29/2016,17:00:00,02/29/2016,18:00:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE - APT. HOUSE,,,1030708,190546,40.689567811,-73.832478977,"(40.689567811, -73.832478977)"
813019544,02/29/2016,17:00:00,02/29/2016,17:05:00,02/29/2016,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,FRONT OF,STREET,,,1000625,208625,40.739297126,-73.940910949,"(40.739297126, -73.940910949)"
332158342,02/29/2016,17:00:00,02/29/2016,17:30:00,02/29/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,61,,STREET,,,996117,160923,40.608373072,-73.957262404,"(40.608373072, -73.957262404)"
516123574,02/29/2016,16:55:00,02/29/2016,16:56:00,02/29/2016,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,PUBLIC BUILDING,,,996343,236150,40.814852894,-73.956313353,"(40.814852894, -73.956313353)"
932170531,02/29/2016,16:55:00,02/29/2016,17:00:00,02/29/2016,117,DANGEROUS DRUGS,521,"CONTROLLED SUBSTANCE, SALE 5",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,RESIDENCE - APT. HOUSE,,,1001388,245170,40.839601874,-73.938064365,"(40.839601874, -73.938064365)"
197939793,02/29/2016,16:54:00,,,02/29/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,,STREET,,,1020923,248579,40.848899055,-73.867445904,"(40.848899055, -73.867445904)"
873918079,02/29/2016,16:54:00,02/29/2016,17:13:00,02/29/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,COMMERCIAL BUILDING,,,1015653,233490,40.807504403,-73.886565064,"(40.807504403, -73.886565064)"
899462558,02/29/2016,16:51:00,,,02/29/2016,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,75,INSIDE,RESIDENCE - PUBLIC HOUSING,,FIORENTINO PLAZA,1014049,184262,40.672391434,-73.892577219,"(40.672391434, -73.892577219)"
570387075,02/29/2016,16:50:00,02/29/2016,16:58:00,02/29/2016,352,CRIMINAL TRESPASS,205,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,81,INSIDE,RESIDENCE-HOUSE,,,1001789,188505,40.684070285,-73.936762975,"(40.684070285, -73.936762975)"
339480102,02/29/2016,16:50:00,02/29/2016,17:00:00,02/29/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,,,999845,176497,40.651114639,-73.94380002,"(40.651114639, -73.94380002)"
